,match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent,pemain
62,Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,DMF,91,112,102,91,0,0,1,0,0,7,100,95,95,6,6,100,0,0,0,0,0,0,7,5,71,0,0,0,2,6,3,50,9,4,44,kroos
63,RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,LDMF,76,105,92,88,0,0,0,0,0,0,94,87,93,12,8,67,0,0,0,0,0,0,6,5,83,1,1,100,5,5,2,40,8,3,38,kroos
64,Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,"DMF, LDMF",101,138,109,79,0,1,3,0,0,1,110,102,93,13,9,69,3,2,67,2,0,0,17,5,29,0,0,0,3,6,0,0,13,11,85,kroos
65,Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,LCMF3,94,108,95,88,0,0,0,0,0,0,89,86,97,9,7,78,1,0,0,1,1,100,9,6,67,1,0,0,1,6,0,0,5,2,40,kroos
66,Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LCMF,13,7,6,86,0,1,0,0,0,0,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kroos
67,Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,"DMF, LCMF3",93,134,118,88,0,0,1,0,0,3,116,110,95,19,17,89,0,0,0,0,0,0,8,6,75,2,2,100,5,4,3,75,12,4,33,kroos
68,Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,LCMF3,100,116,86,74,0,0,0,0,0,0,77,71,92,13,9,69,0,0,0,1,1,100,14,9,64,0,0,0,6,6,2,33,8,3,38,kroos
69,Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,LDMF,70,63,42,67,0,0,1,0,0,0,42,38,90,3,2,67,0,0,0,4,1,25,10,4,40,0,0,0,1,4,4,100,5,3,60,kroos
70,Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,"DMF, LCMF",95,82,63,77,0,0,0,0,0,0,57,52,91,4,2,50,0,0,0,1,0,0,16,8,50,5,3,60,5,7,2,29,10,4,40,kroos
71,Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,"LCMF, LCMF3",74,76,58,76,0,0,1,1,100,7,52,47,90,6,4,67,0,0,0,1,1,100,14,7,50,1,0,0,2,6,1,17,6,4,67,kroos
72,Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,LCMF3,75,57,46,81,0,0,0,0,0,0,38,35,92,3,2,67,1,0,0,0,0,0,11,8,73,2,1,50,0,5,2,40,3,0,0,kroos
73,Real Madrid - PSG 3:1,Europe. UEFA Champions League,3/9/22,DMF,59,70,58,83,0,0,0,0,0,0,53,52,98,3,3,100,1,1,100,0,0,0,12,6,50,2,0,0,3,2,2,100,5,4,80,kroos
